# Col1 =Q, Col2 = Transmittivity, COl3 = Penetration depth
2.51E-02,1.79E+00,6.98E+04
2.52E-02,1.77E+00,7.10E+04
2.53E-02,1.76E+00,7.21E+04
2.54E-02,1.75E+00,7.32E+04
2.55E-02,1.73E+00,7.43E+04
2.56E-02,1.72E+00,7.54E+04
2.57E-02,1.71E+00,7.65E+04
2.58E-02,1.70E+00,7.75E+04
2.59E-02,1.69E+00,7.86E+04
2.60E-02,1.68E+00,7.96E+04
2.61E-02,1.66E+00,8.06E+04
2.62E-02,1.65E+00,8.17E+04
2.63E-02,1.64E+00,8.27E+04
2.64E-02,1.63E+00,8.37E+04
2.65E-02,1.63E+00,8.47E+04
2.66E-02,1.62E+00,8.57E+04
2.67E-02,1.61E+00,8.66E+04
2.68E-02,1.60E+00,8.76E+04
2.69E-02,1.59E+00,8.86E+04
2.70E-02,1.58E+00,8.96E+04
2.71E-02,1.57E+00,9.05E+04
2.72E-02,1.57E+00,9.15E+04
2.73E-02,1.56E+00,9.24E+04
2.74E-02,1.55E+00,9.33E+04
2.75E-02,1.54E+00,9.43E+04
2.76E-02,1.54E+00,9.52E+04
2.77E-02,1.53E+00,9.61E+04
2.78E-02,1.52E+00,9.70E+04
2.79E-02,1.52E+00,9.79E+04
2.80E-02,1.51E+00,9.88E+04
2.81E-02,1.50E+00,9.97E+04
2.82E-02,1.50E+00,1.01E+05
2.83E-02,1.49E+00,1.01E+05
2.84E-02,1.48E+00,1.02E+05
2.85E-02,1.48E+00,1.03E+05
2.86E-02,1.47E+00,1.04E+05
2.87E-02,1.47E+00,1.05E+05
2.88E-02,1.46E+00,1.06E+05
2.89E-02,1.46E+00,1.07E+05
2.90E-02,1.45E+00,1.08E+05
2.91E-02,1.45E+00,1.08E+05
2.92E-02,1.44E+00,1.09E+05
2.93E-02,1.44E+00,1.10E+05
2.94E-02,1.43E+00,1.11E+05
2.95E-02,1.43E+00,1.12E+05
2.96E-02,1.42E+00,1.13E+05
2.97E-02,1.42E+00,1.13E+05
2.98E-02,1.41E+00,1.14E+05
2.99E-02,1.41E+00,1.15E+05
3.00E-02,1.40E+00,1.16E+05
3.01E-02,1.40E+00,1.17E+05
3.02E-02,1.40E+00,1.18E+05
3.03E-02,1.39E+00,1.18E+05
3.04E-02,1.39E+00,1.19E+05
3.05E-02,1.38E+00,1.20E+05
3.06E-02,1.38E+00,1.21E+05
3.07E-02,1.38E+00,1.22E+05
3.08E-02,1.37E+00,1.22E+05
3.09E-02,1.37E+00,1.23E+05
3.10E-02,1.37E+00,1.24E+05
3.11E-02,1.36E+00,1.25E+05
3.12E-02,1.36E+00,1.26E+05
3.13E-02,1.35E+00,1.26E+05
3.14E-02,1.35E+00,1.27E+05
3.15E-02,1.35E+00,1.28E+05
3.16E-02,1.34E+00,1.29E+05
3.17E-02,1.34E+00,1.30E+05
3.18E-02,1.34E+00,1.30E+05
3.19E-02,1.34E+00,1.31E+05
3.20E-02,1.33E+00,1.32E+05
3.21E-02,1.33E+00,1.33E+05
3.22E-02,1.33E+00,1.33E+05
3.23E-02,1.32E+00,1.34E+05
3.24E-02,1.32E+00,1.35E+05
3.25E-02,1.32E+00,1.36E+05
3.26E-02,1.31E+00,1.36E+05
3.27E-02,1.31E+00,1.37E+05
3.28E-02,1.31E+00,1.38E+05
